ID;Half;Event;Player;Team;"Video time";"Football time";"X coordinate";"Y coordinate";Details
1466;"2nd half";pass;"9. Aston VISSE";"ESTONIA NATIONAL TEAM U17";3799.066;3727.8;0.5063;0.502;"{""third"":""middle"",""length"":""medium"",""restart"":""no"",""body_part"":""right-foot"",""direction"":""backward"",""inside_pa"":""not_inside_pa"",""outcome"":""success"",""under_pressure"":""not_under_pressure""}"
1467;"2nd half";pass_received;"10. Robert MIHALEVSKY";"ESTONIA NATIONAL TEAM U17";3800.766;3729.5;0.3574;0.479;"{""body_part"":""right-foot"",""outcome"":""success"",""under_pressure"":""not_under_pressure""}"
1468;"2nd half";pass;"10. Robert MIHALEVSKY";"ESTONIA NATIONAL TEAM U17";3803.233;3731.966;0.3679;0.4836;"{""third"":""middle"",""length"":""long"",""restart"":""no"",""body_part"":""right-foot"",""direction"":""forward"",""inside_pa"":""not_inside_pa"",""outcome"":""success"",""under_pressure"":""not_under_pressure""}"
1469;"2nd half";pass_received;"13. Ako HENNO KORRE";"ESTONIA NATIONAL TEAM U17";3808.133;3736.866;0.8068;0.9501;"{""body_part"":""right-foot"",""outcome"":""success"",""under_pressure"":""under_pressure""}"
1470;"2nd half";pass;"13. Ako HENNO KORRE";"ESTONIA NATIONAL TEAM U17";3811;3739.733;0.7622;0.8421;"{""third"":""final"",""length"":""medium"",""restart"":""no"",""body_part"":""right-foot"",""direction"":""backward"",""inside_pa"":""not_inside_pa"",""outcome"":""success"",""under_pressure"":""under_pressure""}"
1471;"2nd half";pass_received;"15. Ron NELTSAS";"ESTONIA NATIONAL TEAM U17";3812.033;3740.766;0.5881;0.973;"{""body_part"":""left-foot"",""outcome"":""success"",""under_pressure"":""not_under_pressure""}"
1472;"2nd half";pass;"15. Ron NELTSAS";"ESTONIA NATIONAL TEAM U17";3812.966;3741.7;0.5911;0.9616;"{""third"":""middle"",""length"":""short"",""restart"":""no"",""body_part"":""right-foot"",""direction"":""sideways"",""inside_pa"":""not_inside_pa"",""outcome"":""success"",""under_pressure"":""not_under_pressure""}"
1473;"2nd half";pass_received;"6. Gustav KAMARIN WAGNER";"ESTONIA NATIONAL TEAM U17";3814.466;3743.2;0.5851;0.8214;"{""body_part"":""left-foot"",""outcome"":""success"",""under_pressure"":""not_under_pressure""}"
1474;"2nd half";pass;"6. Gustav KAMARIN WAGNER";"ESTONIA NATIONAL TEAM U17";3815.3;3744.033;0.6;0.8053;"{""third"":""middle"",""length"":""long"",""restart"":""no"",""body_part"":""right-foot"",""direction"":""sideways"",""inside_pa"":""not_inside_pa"",""outcome"":""fail"",""under_pressure"":""under_pressure""}"
1475;"2nd half";recovery;"19. Giorgi LAGVILAVA";"GEORGIA NATIONAL TEAM U17";3816.833;3745.566;0.3152;0.6474;"{""body_part"":""right-foot"",""outcome"":""success""}"
1476;"2nd half";pass;"19. Giorgi LAGVILAVA";"GEORGIA NATIONAL TEAM U17";3818.566;3747.3;0.3345;0.6382;"{""third"":""middle"",""length"":""medium"",""restart"":""no"",""body_part"":""right-foot"",""direction"":""forward"",""inside_pa"":""not_inside_pa"",""outcome"":""fail"",""under_pressure"":""under_pressure""}"
1477;"2nd half";pass_received;"20. Andria SVANIDZE";"GEORGIA NATIONAL TEAM U17";3820.266;3749;0.5503;0.5968;"{""body_part"":""right-foot"",""outcome"":""fail"",""under_pressure"":""under_pressure""}"
1478;"2nd half";recovery;"14. Ronald SAMMUL";"ESTONIA NATIONAL TEAM U17";3822.166;3750.9;0.3857;0.5686;"{""body_part"":""right-foot"",""outcome"":""success""}"
1479;"2nd half";pass;"14. Ronald SAMMUL";"ESTONIA NATIONAL TEAM U17";3822.2;3750.933;0.3902;0.5732;"{""third"":""middle"",""length"":""short"",""restart"":""no"",""body_part"":""right-foot"",""direction"":""forward"",""inside_pa"":""not_inside_pa"",""outcome"":""success"",""under_pressure"":""under_pressure""}"
1480;"2nd half";pass_received;"6. Gustav KAMARIN WAGNER";"ESTONIA NATIONAL TEAM U17";3822.966;3751.7;0.4616;0.4652;"{""body_part"":""other"",""outcome"":""success"",""under_pressure"":""not_under_pressure""}"
1481;"2nd half";pass;"6. Gustav KAMARIN WAGNER";"ESTONIA NATIONAL TEAM U17";3826.133;3754.866;0.5509;0.456;"{""third"":""middle"",""length"":""short"",""restart"":""no"",""body_part"":""right-foot"",""direction"":""sideways"",""inside_pa"":""not_inside_pa"",""outcome"":""success"",""under_pressure"":""under_pressure""}"
1482;"2nd half";pass_received;"10. Robert MIHALEVSKY";"ESTONIA NATIONAL TEAM U17";3827.066;3755.8;0.5196;0.3205;"{""body_part"":""right-foot"",""outcome"":""success"",""under_pressure"":""not_under_pressure""}"
1483;"2nd half";pass;"10. Robert MIHALEVSKY";"ESTONIA NATIONAL TEAM U17";3831.966;3760.7;0.5628;0.4537;"{""third"":""middle"",""length"":""long"",""restart"":""no"",""body_part"":""right-foot"",""direction"":""forward"",""inside_pa"":""not_inside_pa"",""outcome"":""success"",""under_pressure"":""not_under_pressure""}"
1484;"2nd half";pass_received;"13. Ako HENNO KORRE";"ESTONIA NATIONAL TEAM U17";3834.7;3763.433;0.8649;0.9501;"{""body_part"":""right-foot"",""outcome"":""success"",""under_pressure"":""not_under_pressure""}"
1485;"2nd half";technical_error;"13. Ako HENNO KORRE";"ESTONIA NATIONAL TEAM U17";3840.333;3769.066;0.9765;0.9983;"{""body_part"":""right-foot"",""outcome"":""fail"",""under_pressure"":""under_pressure""}"
1486;"2nd half";ball_out_of_play;"13. Ako HENNO KORRE";"ESTONIA NATIONAL TEAM U17";3840.933;3769.666;0.9676;0.996;
1487;"2nd half";pass;"10. Giorgi GOGSADZE";"GEORGIA NATIONAL TEAM U17";3850.933;3779.666;0.1009;0.0063;"{""third"":""defensive"",""length"":""short"",""restart"":""throw-in"",""body_part"":""hand"",""direction"":""backward"",""inside_pa"":""not_inside_pa"",""outcome"":""success"",""under_pressure"":""not_under_pressure""}"
1488;"2nd half";pass_received;"4. Alika GETIASHVILI";"GEORGIA NATIONAL TEAM U17";3852.166;3780.9;0.0101;0.0453;"{""body_part"":""other"",""outcome"":""success"",""under_pressure"":""under_pressure""}"
1489;"2nd half";clearance;"4. Alika GETIASHVILI";"GEORGIA NATIONAL TEAM U17";3852.7;3781.433;0.019;0.0339;"{""body_part"":""left-foot"",""under_pressure"":""under_pressure""}"
1490;"2nd half";recovery;"7. Tornike KVARTSKHELIA";"GEORGIA NATIONAL TEAM U17";3856.233;3784.966;0.3702;0.2269;"{""body_part"":""left-foot"",""outcome"":""success""}"
1491;"2nd half";pass;"7. Tornike KVARTSKHELIA";"GEORGIA NATIONAL TEAM U17";3857.466;3786.2;0.3196;0.2223;"{""third"":""defensive"",""length"":""short"",""restart"":""no"",""body_part"":""right-foot"",""direction"":""backward"",""inside_pa"":""not_inside_pa"",""outcome"":""success"",""under_pressure"":""under_pressure""}"
1492;"2nd half";pass_received;"17. Saba AVDOEV";"GEORGIA NATIONAL TEAM U17";3858.266;3787;0.2557;0.2498;"{""body_part"":""right-foot"",""outcome"":""success"",""under_pressure"":""not_under_pressure""}"
1493;"2nd half";pass;"17. Saba AVDOEV";"GEORGIA NATIONAL TEAM U17";3859.066;3787.8;0.2542;0.2981;"{""third"":""defensive"",""length"":""medium"",""restart"":""no"",""body_part"":""right-foot"",""direction"":""sideways"",""inside_pa"":""not_inside_pa"",""outcome"":""fail"",""under_pressure"":""not_under_pressure""}"
1494;"2nd half";recovery;"8. Andero KAARES";"ESTONIA NATIONAL TEAM U17";3861.5;3790.233;0.6491;0.3366;"{""body_part"":""right-foot"",""outcome"":""success""}"
1495;"2nd half";pass;"8. Andero KAARES";"ESTONIA NATIONAL TEAM U17";3861.533;3790.266;0.6491;0.3343;"{""third"":""middle"",""length"":""short"",""restart"":""no"",""body_part"":""right-foot"",""direction"":""forward"",""inside_pa"":""not_inside_pa"",""outcome"":""fail"",""under_pressure"":""under_pressure""}"
